ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-02-27 06:11:00+00:00,33,1,42140878,6900.75,6900.75,6898.75,6899.5,137,ES.c.0
2026-02-27 06:12:00+00:00,33,1,42140878,6899.5,6900.25,6897.0,6897.0,133,ES.c.0
2026-02-27 06:13:00+00:00,33,1,42140878,6897.0,6897.5,6896.25,6897.5,173,ES.c.0
2026-02-27 06:14:00+00:00,33,1,42140878,6897.5,6898.0,6896.75,6897.0,90,ES.c.0
2026-02-27 06:15:00+00:00,33,1,42140878,6897.0,6897.75,6896.0,6896.25,101,ES.c.0
2026-02-27 06:16:00+00:00,33,1,42140878,6896.25,6896.5,6894.25,6895.25,195,ES.c.0
2026-02-27 06:17:00+00:00,33,1,42140878,6895.0,6895.5,6894.25,6894.75,94,ES.c.0
2026-02-27 06:18:00+00:00,33,1,42140878,6894.5,6895.0,6894.25,6894.5,91,ES.c.0
2026-02-27 06:19:00+00:00,33,1,42140878,6894.5,6895.25,6894.25,6895.0,74,ES.c.0
2026-02-27 06:20:00+00:00,33,1,42140878,6894.75,6895.25,6894.5,6895.0,114,ES.c.0
2026-02-27 06:21:00+00:00,33,1,42140878,6895.25,6895.25,6892.5,6893.25,256,ES.c.0
2026-02-27 06:22:00+00:00,33,1,42140878,6893.0,6894.0,6893.0,6893.25,114,ES.c.0
2026-02-27 06:23:00+00:00,33,1,42140878,6893.5,6894.25,6893.5,6894.0,61,ES.c.0
2026-02-27 06:24:00+00:00,33,1,42140878,6893.75,6894.25,6893.5,6893.5,89,ES.c.0
2026-02-27 06:25:00+00:00,33,1,42140878,6893.5,6894.25,6892.5,6893.75,144,ES.c.0
2026-02-27 06:26:00+00:00,33,1,42140878,6893.75,6895.5,6893.5,6894.75,152,ES.c.0
2026-02-27 06:27:00+00:00,33,1,42140878,6894.75,6895.0,6894.0,6894.75,98,ES.c.0
2026-02-27 06:28:00+00:00,33,1,42140878,6894.5,6895.5,6894.0,6895.0,86,ES.c.0
2026-02-27 06:29:00+00:00,33,1,42140878,6895.0,6896.0,6895.0,6896.0,88,ES.c.0
2026-02-27 06:30:00+00:00,33,1,42140878,6895.75,6899.25,6895.5,6899.0,251,ES.c.0
2026-02-27 06:31:00+00:00,33,1,42140878,6899.0,6899.25,6898.0,6898.25,100,ES.c.0
2026-02-27 06:32:00+00:00,33,1,42140878,6898.5,6899.75,6898.0,6899.75,100,ES.c.0
2026-02-27 06:33:00+00:00,33,1,42140878,6899.75,6900.0,6897.75,6897.75,94,ES.c.0
2026-02-27 06:34:00+00:00,33,1,42140878,6898.25,6899.25,6898.25,6899.25,82,ES.c.0
2026-02-27 06:35:00+00:00,33,1,42140878,6899.5,6901.5,6899.5,6900.75,231,ES.c.0
2026-02-27 06:36:00+00:00,33,1,42140878,6900.75,6901.75,6900.0,6901.75,273,ES.c.0
2026-02-27 06:37:00+00:00,33,1,42140878,6901.75,6902.5,6901.5,6901.75,190,ES.c.0
2026-02-27 06:38:00+00:00,33,1,42140878,6901.75,6901.75,6899.75,6900.0,109,ES.c.0
2026-02-27 06:39:00+00:00,33,1,42140878,6900.0,6900.75,6900.0,6900.75,40,ES.c.0
2026-02-27 06:40:00+00:00,33,1,42140878,6900.75,6900.75,6900.5,6900.5,50,ES.c.0
2026-02-27 06:41:00+00:00,33,1,42140878,6900.5,6901.25,6900.5,6901.0,27,ES.c.0
2026-02-27 06:42:00+00:00,33,1,42140878,6901.25,6901.75,6901.0,6901.5,55,ES.c.0
2026-02-27 06:43:00+00:00,33,1,42140878,6901.75,6901.75,6900.75,6901.0,38,ES.c.0
2026-02-27 06:44:00+00:00,33,1,42140878,6901.25,6901.25,6901.0,6901.0,23,ES.c.0
2026-02-27 06:45:00+00:00,33,1,42140878,6901.25,6902.25,6901.25,6902.25,21,ES.c.0
2026-02-27 06:46:00+00:00,33,1,42140878,6902.0,6902.25,6901.0,6901.0,66,ES.c.0
2026-02-27 06:47:00+00:00,33,1,42140878,6901.0,6901.25,6901.0,6901.25,35,ES.c.0
2026-02-27 06:48:00+00:00,33,1,42140878,6901.25,6901.75,6901.25,6901.75,29,ES.c.0
2026-02-27 06:49:00+00:00,33,1,42140878,6901.5,6902.0,6901.5,6902.0,31,ES.c.0
2026-02-27 06:50:00+00:00,33,1,42140878,6902.0,6902.0,6901.5,6901.75,57,ES.c.0
2026-02-27 06:51:00+00:00,33,1,42140878,6901.5,6901.5,6900.25,6900.25,32,ES.c.0
2026-02-27 06:52:00+00:00,33,1,42140878,6900.5,6900.75,6900.5,6900.75,40,ES.c.0
2026-02-27 06:53:00+00:00,33,1,42140878,6901.0,6901.75,6900.75,6901.5,92,ES.c.0
2026-02-27 06:54:00+00:00,33,1,42140878,6901.5,6901.5,6900.5,6900.5,48,ES.c.0
2026-02-27 06:55:00+00:00,33,1,42140878,6900.5,6900.5,6899.75,6899.75,287,ES.c.0
2026-02-27 06:56:00+00:00,33,1,42140878,6899.75,6900.5,6899.75,6900.5,41,ES.c.0
2026-02-27 06:57:00+00:00,33,1,42140878,6900.75,6900.75,6900.25,6900.5,40,ES.c.0
2026-02-27 06:58:00+00:00,33,1,42140878,6900.25,6901.0,6900.25,6900.75,48,ES.c.0
2026-02-27 06:59:00+00:00,33,1,42140878,6900.5,6900.5,6900.0,6900.5,65,ES.c.0
2026-02-27 07:00:00+00:00,33,1,42140878,6900.5,6904.0,6900.5,6903.75,227,ES.c.0
2026-02-27 07:01:00+00:00,33,1,42140878,6903.75,6904.0,6902.5,6903.25,160,ES.c.0
2026-02-27 07:02:00+00:00,33,1,42140878,6903.25,6903.5,6902.75,6903.5,88,ES.c.0
2026-02-27 07:03:00+00:00,33,1,42140878,6903.5,6904.25,6903.0,6903.25,129,ES.c.0
2026-02-27 07:04:00+00:00,33,1,42140878,6903.25,6903.25,6902.25,6902.5,114,ES.c.0
2026-02-27 07:05:00+00:00,33,1,42140878,6902.5,6902.75,6901.75,6902.75,91,ES.c.0
2026-02-27 07:06:00+00:00,33,1,42140878,6902.75,6903.0,6902.0,6902.5,110,ES.c.0
2026-02-27 07:07:00+00:00,33,1,42140878,6902.25,6903.0,6902.0,6903.0,75,ES.c.0
2026-02-27 07:08:00+00:00,33,1,42140878,6903.25,6904.0,6903.25,6904.0,153,ES.c.0
2026-02-27 07:09:00+00:00,33,1,42140878,6904.0,6904.0,6903.0,6903.25,46,ES.c.0
2026-02-27 07:10:00+00:00,33,1,42140878,6903.25,6904.0,6903.0,6903.75,111,ES.c.0
2026-02-27 07:11:00+00:00,33,1,42140878,6903.75,6903.75,6903.0,6903.0,69,ES.c.0
2026-02-27 07:12:00+00:00,33,1,42140878,6903.0,6903.0,6902.5,6902.75,62,ES.c.0
2026-02-27 07:13:00+00:00,33,1,42140878,6902.75,6902.75,6902.25,6902.75,76,ES.c.0
2026-02-27 07:14:00+00:00,33,1,42140878,6902.75,6902.75,6902.5,6902.75,31,ES.c.0
2026-02-27 07:15:00+00:00,33,1,42140878,6902.5,6903.25,6902.5,6903.25,79,ES.c.0
2026-02-27 07:16:00+00:00,33,1,42140878,6903.0,6904.5,6903.0,6904.25,103,ES.c.0
2026-02-27 07:17:00+00:00,33,1,42140878,6904.0,6904.5,6903.75,6904.25,83,ES.c.0
2026-02-27 07:18:00+00:00,33,1,42140878,6904.25,6904.5,6903.5,6904.0,96,ES.c.0
2026-02-27 07:19:00+00:00,33,1,42140878,6904.0,6905.0,6904.0,6905.0,84,ES.c.0
2026-02-27 07:20:00+00:00,33,1,42140878,6904.75,6904.75,6904.25,6904.5,108,ES.c.0
2026-02-27 07:21:00+00:00,33,1,42140878,6904.5,6905.25,6904.5,6905.25,84,ES.c.0
2026-02-27 07:22:00+00:00,33,1,42140878,6905.5,6905.75,6904.75,6905.0,123,ES.c.0
2026-02-27 07:23:00+00:00,33,1,42140878,6905.25,6905.5,6905.0,6905.5,71,ES.c.0
2026-02-27 07:24:00+00:00,33,1,42140878,6905.75,6906.5,6905.75,6906.25,150,ES.c.0
2026-02-27 07:25:00+00:00,33,1,42140878,6906.0,6907.75,6906.0,6907.5,263,ES.c.0
2026-02-27 07:26:00+00:00,33,1,42140878,6907.5,6908.0,6907.25,6907.75,179,ES.c.0
2026-02-27 07:27:00+00:00,33,1,42140878,6907.5,6907.75,6907.25,6907.75,105,ES.c.0
2026-02-27 07:28:00+00:00,33,1,42140878,6907.75,6908.0,6907.5,6908.0,166,ES.c.0
2026-02-27 07:29:00+00:00,33,1,42140878,6907.75,6908.0,6907.25,6907.75,94,ES.c.0
2026-02-27 07:30:00+00:00,33,1,42140878,6907.75,6907.75,6907.25,6907.5,88,ES.c.0
2026-02-27 07:31:00+00:00,33,1,42140878,6907.5,6907.75,6907.5,6907.5,77,ES.c.0
2026-02-27 07:32:00+00:00,33,1,42140878,6907.5,6907.5,6906.0,6906.25,129,ES.c.0
2026-02-27 07:33:00+00:00,33,1,42140878,6906.5,6907.0,6906.5,6906.5,112,ES.c.0
2026-02-27 07:34:00+00:00,33,1,42140878,6906.75,6907.25,6906.5,6907.0,139,ES.c.0
2026-02-27 07:35:00+00:00,33,1,42140878,6907.0,6908.0,6907.0,6907.75,82,ES.c.0
2026-02-27 07:36:00+00:00,33,1,42140878,6907.5,6907.5,6907.0,6907.5,74,ES.c.0
2026-02-27 07:37:00+00:00,33,1,42140878,6907.5,6908.0,6907.5,6907.5,83,ES.c.0
2026-02-27 07:38:00+00:00,33,1,42140878,6907.5,6907.75,6906.5,6907.0,154,ES.c.0
2026-02-27 07:39:00+00:00,33,1,42140878,6907.0,6907.5,6907.0,6907.0,86,ES.c.0
2026-02-27 07:40:00+00:00,33,1,42140878,6906.75,6906.75,6905.25,6905.5,227,ES.c.0
2026-02-27 07:41:00+00:00,33,1,42140878,6905.75,6906.0,6905.5,6905.75,128,ES.c.0
2026-02-27 07:42:00+00:00,33,1,42140878,6905.75,6907.0,6905.75,6906.25,97,ES.c.0
2026-02-27 07:43:00+00:00,33,1,42140878,6906.25,6906.25,6906.0,6906.0,88,ES.c.0
2026-02-27 07:44:00+00:00,33,1,42140878,6906.0,6906.75,6906.0,6906.75,80,ES.c.0
2026-02-27 07:45:00+00:00,33,1,42140878,6906.75,6907.75,6906.75,6907.0,135,ES.c.0
2026-02-27 07:46:00+00:00,33,1,42140878,6906.75,6907.5,6906.75,6907.5,102,ES.c.0
2026-02-27 07:47:00+00:00,33,1,42140878,6907.75,6908.0,6907.75,6907.75,134,ES.c.0
2026-02-27 07:48:00+00:00,33,1,42140878,6907.75,6908.0,6907.75,6907.75,74,ES.c.0
2026-02-27 07:49:00+00:00,33,1,42140878,6907.5,6907.5,6907.0,6907.25,57,ES.c.0
2026-02-27 07:50:00+00:00,33,1,42140878,6907.5,6907.75,6907.25,6907.75,98,ES.c.0
2026-02-27 07:51:00+00:00,33,1,42140878,6908.0,6908.25,6907.75,6908.0,91,ES.c.0
2026-02-27 07:52:00+00:00,33,1,42140878,6908.0,6908.0,6907.25,6907.25,102,ES.c.0
2026-02-27 07:53:00+00:00,33,1,42140878,6907.25,6907.5,6906.5,6906.75,82,ES.c.0
2026-02-27 07:54:00+00:00,33,1,42140878,6906.5,6907.0,6906.5,6907.0,85,ES.c.0
2026-02-27 07:55:00+00:00,33,1,42140878,6907.0,6907.0,6905.5,6906.0,204,ES.c.0
2026-02-27 07:56:00+00:00,33,1,42140878,6906.0,6907.0,6905.75,6907.0,113,ES.c.0
2026-02-27 07:57:00+00:00,33,1,42140878,6907.0,6907.75,6906.75,6907.25,235,ES.c.0
2026-02-27 07:58:00+00:00,33,1,42140878,6907.0,6907.5,6906.5,6906.75,110,ES.c.0
2026-02-27 07:59:00+00:00,33,1,42140878,6907.0,6907.25,6906.5,6907.0,202,ES.c.0
2026-02-27 08:00:00+00:00,33,1,42140878,6907.0,6909.25,6906.0,6906.0,827,ES.c.0
2026-02-27 08:01:00+00:00,33,1,42140878,6906.25,6911.25,6905.75,6909.25,592,ES.c.0
2026-02-27 08:02:00+00:00,33,1,42140878,6909.25,6909.5,6907.25,6907.25,403,ES.c.0
2026-02-27 08:03:00+00:00,33,1,42140878,6907.25,6909.5,6906.5,6909.5,331,ES.c.0
2026-02-27 08:04:00+00:00,33,1,42140878,6909.5,6910.0,6907.75,6908.0,228,ES.c.0
2026-02-27 08:05:00+00:00,33,1,42140878,6908.25,6908.5,6907.5,6908.0,159,ES.c.0
2026-02-27 08:06:00+00:00,33,1,42140878,6908.25,6910.5,6908.25,6910.25,198,ES.c.0
2026-02-27 08:07:00+00:00,33,1,42140878,6910.0,6910.0,6906.5,6906.75,211,ES.c.0
2026-02-27 08:08:00+00:00,33,1,42140878,6906.5,6906.75,6905.75,6905.75,151,ES.c.0
2026-02-27 08:09:00+00:00,33,1,42140878,6906.0,6906.75,6905.25,6906.75,143,ES.c.0
2026-02-27 08:10:00+00:00,33,1,42140878,6907.0,6907.0,6905.75,6906.5,186,ES.c.0
2026-02-27 08:11:00+00:00,33,1,42140878,6906.5,6907.5,6905.75,6907.5,150,ES.c.0
2026-02-27 08:12:00+00:00,33,1,42140878,6907.5,6907.5,6906.0,6906.75,138,ES.c.0
2026-02-27 08:13:00+00:00,33,1,42140878,6906.75,6906.75,6903.75,6904.25,210,ES.c.0
2026-02-27 08:14:00+00:00,33,1,42140878,6904.0,6904.25,6901.5,6901.75,283,ES.c.0
2026-02-27 08:15:00+00:00,33,1,42140878,6901.75,6902.25,6899.75,6900.75,379,ES.c.0
2026-02-27 08:16:00+00:00,33,1,42140878,6900.25,6902.5,6900.25,6901.5,273,ES.c.0
2026-02-27 08:17:00+00:00,33,1,42140878,6901.75,6905.0,6901.75,6904.75,174,ES.c.0
2026-02-27 08:18:00+00:00,33,1,42140878,6904.5,6905.75,6904.5,6905.5,133,ES.c.0
2026-02-27 08:19:00+00:00,33,1,42140878,6905.75,6907.0,6905.5,6906.25,162,ES.c.0
2026-02-27 08:20:00+00:00,33,1,42140878,6906.25,6907.5,6905.75,6907.0,111,ES.c.0
2026-02-27 08:21:00+00:00,33,1,42140878,6907.25,6907.25,6905.5,6906.25,196,ES.c.0
2026-02-27 08:22:00+00:00,33,1,42140878,6906.0,6906.75,6905.75,6906.75,130,ES.c.0
2026-02-27 08:23:00+00:00,33,1,42140878,6907.0,6907.0,6905.25,6905.75,190,ES.c.0
2026-02-27 08:24:00+00:00,33,1,42140878,6905.75,6905.75,6905.0,6905.25,123,ES.c.0
2026-02-27 08:25:00+00:00,33,1,42140878,6905.0,6905.75,6903.75,6904.75,228,ES.c.0
2026-02-27 08:26:00+00:00,33,1,42140878,6905.0,6905.75,6904.25,6905.25,123,ES.c.0
2026-02-27 08:27:00+00:00,33,1,42140878,6905.25,6907.0,6905.25,6906.75,130,ES.c.0
2026-02-27 08:28:00+00:00,33,1,42140878,6906.75,6908.0,6905.75,6906.75,332,ES.c.0
2026-02-27 08:29:00+00:00,33,1,42140878,6906.75,6907.25,6905.75,6906.0,232,ES.c.0
2026-02-27 08:30:00+00:00,33,1,42140878,6906.0,6909.5,6906.0,6908.5,235,ES.c.0
2026-02-27 08:31:00+00:00,33,1,42140878,6908.75,6909.25,6907.75,6909.25,127,ES.c.0
2026-02-27 08:32:00+00:00,33,1,42140878,6909.0,6909.0,6906.0,6906.5,193,ES.c.0
2026-02-27 08:33:00+00:00,33,1,42140878,6906.0,6906.25,6904.75,6905.5,168,ES.c.0
2026-02-27 08:34:00+00:00,33,1,42140878,6905.5,6905.5,6903.5,6903.75,154,ES.c.0
2026-02-27 08:35:00+00:00,33,1,42140878,6903.5,6904.5,6903.0,6904.0,114,ES.c.0
2026-02-27 08:36:00+00:00,33,1,42140878,6904.0,6905.25,6903.0,6904.25,192,ES.c.0
2026-02-27 08:37:00+00:00,33,1,42140878,6904.0,6905.0,6903.75,6903.75,78,ES.c.0
